Experiment	subject	Bmemory	ret_trial_type	viol	response	rates
1	2	1	1	1	2	0.571428571428571
1	3	1	1	1	2	0.777777777777778
1	6	1	1	1	2	0.714285714285714
1	8	1	1	1	2	0.461538461538462
1	9	1	1	1	2	0.875
1	10	1	1	1	2	0.625
1	11	1	1	1	2	0.888888888888889
1	12	1	1	1	2	0.4
1	13	1	1	1	2	0.6
1	14	1	1	1	2	0.3
1	15	1	1	1	2	0.363636363636364
1	16	1	1	1	2	0.857142857142857
1	17	1	1	1	2	0.857142857142857
1	19	1	1	1	2	0.833333333333333
1	20	1	1	1	2	0.75
1	22	1	1	1	2	0.692307692307692
1	24	1	1	1	2	0.714285714285714
1	25	1	1	1	2	1
1	26	1	1	1	2	1
1	31	1	1	1	2	0.625
1	32	1	1	1	2	1
1	33	1	1	1	2	0.5
1	34	1	1	1	2	0.714285714285714
1	35	1	1	1	2	0.666666666666667
1	36	1	1	1	2	0.75
1	37	1	1	1	2	0.846153846153846
1	38	1	1	1	2	0.733333333333333
1	39	1	1	1	2	0.5
1	2	1	1	1	1	0
1	3	1	1	1	1	0.111111111111111
1	6	1	1	1	1	0.0714285714285714
1	8	1	1	1	1	0.461538461538462
1	9	1	1	1	1	0
1	10	1	1	1	1	0.375
1	11	1	1	1	1	0.111111111111111
1	12	1	1	1	1	0.4
1	13	1	1	1	1	0.4
1	14	1	1	1	1	0.4
1	15	1	1	1	1	0.363636363636364
1	16	1	1	1	1	0.142857142857143
1	17	1	1	1	1	0.142857142857143
1	19	1	1	1	1	0
1	20	1	1	1	1	0
1	22	1	1	1	1	0.230769230769231
1	24	1	1	1	1	0.214285714285714
1	25	1	1	1	1	0
1	26	1	1	1	1	0
1	31	1	1	1	1	0.125
1	32	1	1	1	1	0
1	33	1	1	1	1	0.0833333333333333
1	34	1	1	1	1	0.0714285714285714
1	35	1	1	1	1	0.333333333333333
1	36	1	1	1	1	0.125
1	37	1	1	1	1	0.0769230769230769
1	38	1	1	1	1	0.0666666666666667
1	39	1	1	1	1	0.166666666666667
1	2	1	1	1	0	0.428571428571429
1	3	1	1	1	0	0.111111111111111
1	6	1	1	1	0	0.214285714285714
1	8	1	1	1	0	0.0769230769230769
1	9	1	1	1	0	0.125
1	10	1	1	1	0	0
1	11	1	1	1	0	0
1	12	1	1	1	0	0.2
1	13	1	1	1	0	0
1	14	1	1	1	0	0.3
1	15	1	1	1	0	0.272727272727273
1	16	1	1	1	0	0
1	17	1	1	1	0	0
1	19	1	1	1	0	0.166666666666667
1	20	1	1	1	0	0.25
1	22	1	1	1	0	0.0769230769230769
1	24	1	1	1	0	0.0714285714285714
1	25	1	1	1	0	0
1	26	1	1	1	0	0
1	31	1	1	1	0	0.25
1	32	1	1	1	0	0
1	33	1	1	1	0	0.416666666666667
1	34	1	1	1	0	0.214285714285714
1	35	1	1	1	0	0
1	36	1	1	1	0	0.125
1	37	1	1	1	0	0.0769230769230769
1	38	1	1	1	0	0.2
1	39	1	1	1	0	0.333333333333333
1	2	1	1	0	2	0.666666666666667
1	3	1	1	0	2	0.5
1	6	1	1	0	2	0.75
1	8	1	1	0	2	0.642857142857143
1	9	1	1	0	2	0.6
1	10	1	1	0	2	0.461538461538462
1	11	1	1	0	2	0.875
1	12	1	1	0	2	0.4
1	13	1	1	0	2	0.428571428571429
1	14	1	1	0	2	0.222222222222222
1	15	1	1	0	2	0.25
1	16	1	1	0	2	0.888888888888889
1	17	1	1	0	2	0.916666666666667
1	19	1	1	0	2	0.888888888888889
1	20	1	1	0	2	0.4
1	22	1	1	0	2	0.636363636363636
1	24	1	1	0	2	0.733333333333333
1	25	1	1	0	2	0.571428571428571
1	26	1	1	0	2	0.733333333333333
1	31	1	1	0	2	0.5
1	32	1	1	0	2	0.777777777777778
1	33	1	1	0	2	0.636363636363636
1	34	1	1	0	2	0.692307692307692
1	35	1	1	0	2	0.555555555555556
1	36	1	1	0	2	0.611111111111111
1	37	1	1	0	2	1
1	38	1	1	0	2	0.888888888888889
1	39	1	1	0	2	0.461538461538462
1	2	1	1	0	1	0.166666666666667
1	3	1	1	0	1	0.3
1	6	1	1	0	1	0.0625
1	8	1	1	0	1	0.357142857142857
1	9	1	1	0	1	0.1
1	10	1	1	0	1	0.153846153846154
1	11	1	1	0	1	0.125
1	12	1	1	0	1	0.4
1	13	1	1	0	1	0.142857142857143
1	14	1	1	0	1	0.333333333333333
