subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
4	1	1	1	NaN	0	NaN	1
4	1	1	2	0	1	692.352718673646	1
4	1	2	1	1	0	965.795289725065	0
4	1	2	2	1	1	1590.50578996539	0
4	1	2	1	1	1	1072.7524869144	0
4	1	2	2	0	1	770.374104380608	0
4	1	1	1	0	1	1026.7217438668	0
4	1	1	2	1	1	708.982042968273	0
4	1	2	1	1	1	1581.71381801367	0
4	1	2	2	0	1	1022.90925383568	0
4	1	2	1	0	1	847.506788559258	0
4	1	2	2	1	1	528.779005631804	0
4	1	1	1	0	1	730.448299087584	1
4	1	1	2	1	1	1460.95496229827	1
4	1	1	1	1	1	901.183295994997	0
4	1	1	2	0	1	454.993385821581	0
4	1	1	1	1	0	415.715490467846	0
4	1	1	2	1	1	977.170862257481	0
4	1	2	1	1	1	1050.29295943677	0
4	1	2	2	0	1	812.01515160501	0
4	1	1	1	0	1	1108.49348641932	0
4	1	1	2	1	1	957.806108519435	0
4	1	1	1	1	1	926.052093505859	0
4	1	1	2	0	1	953.408093191683	0
4	1	2	1	0	0	1442.23301205784	0
4	1	2	2	1	0	1370.36958523095	0
4	1	2	1	0	1	1363.43471333385	0
4	1	2	2	1	1	925.184051506221	0
4	1	2	1	0	1	758.29794164747	0
4	1	2	2	NaN	0	NaN	0
4	1	2	1	0	1	690.119946375489	0
4	1	2	2	1	1	387.240666896105	0
4	1	2	1	0	1	468.041149899364	0
4	1	2	2	1	1	380.879231728613	0
4	1	2	1	0	1	398.347768001258	1
4	1	2	2	1	1	855.098684318364	1
4	1	1	1	0	1	977.089202031493	0
4	1	1	2	1	1	617.878317832947	0
4	1	1	1	0	0	1194.78578492999	1
4	1	1	2	0	1	1532.10079390556	1
4	1	1	1	1	0	325.837932527065	0
4	1	1	2	1	1	1047.93583415449	0
4	1	1	1	0	1	616.906088776886	0
4	1	1	2	1	1	1057.65863321722	0
4	1	2	1	0	1	723.067003302276	1
4	1	2	2	1	1	1204.3555919081	1
4	1	1	1	0	0	644.426918588579	1
4	1	1	2	0	1	1158.24604220688	1
4	1	2	1	1	1	1535.92912014574	1
4	1	2	2	1	0	1160.85601225495	1
4	1	2	1	1	1	882.671414874494	0
4	1	2	2	0	1	1003.53010185063	0
4	1	1	1	1	1	828.740092925727	0
4	1	1	2	0	1	710.305722430348	0
4	1	1	1	1	0	656.507171690464	0
4	1	1	2	1	1	904.923367314041	0
4	1	1	1	0	1	602.211479097605	1
4	1	1	2	1	1	891.327965073287	1
4	1	1	1	0	0	1405.12697678059	0
4	1	1	2	0	1	1165.36257602274	0
4	1	2	1	0	1	581.915551796556	1
4	1	2	2	1	1	1032.90542028844	1
4	1	1	1	1	0	1378.23144905269	0
4	1	1	2	1	1	1002.64572352171	0
4	1	2	1	1	0	1492.26862937212	1
4	1	2	2	1	1	782.702117227018	1
4	1	2	1	0	0	878.893670625985	1
4	1	2	2	0	1	760.0188087672	1
4	1	2	1	0	1	1121.83649558574	0
4	1	2	2	1	1	1306.49980623275	0
4	1	1	1	0	1	723.25602825731	0
