subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
4	1	1	1	NaN	0	NaN	1
4	1	1	2	1	1	641.782521270216	1
4	1	1	1	0	1	619.55982632935	1
4	1	1	2	0	0	749.296290799975	1
4	1	2	1	0	1	630.673268809915	0
4	1	2	2	1	1	703.486100770533	0
4	1	2	1	0	1	640.92003274709	0
4	1	2	2	1	1	577.409580349922	0
4	1	1	1	1	1	1066.79049506783	1
4	1	1	2	0	1	476.856919005513	1
4	1	2	1	1	1	597.622646018863	1
4	1	2	2	0	1	998.660508543253	1
4	1	1	1	1	1	624.702485278249	1
4	1	1	2	0	1	786.409947089851	1
4	1	2	1	0	0	874.771821312606	0
4	1	2	2	0	1	675.841202028096	0
4	1	3	1	0	1	661.491902545094	1
4	1	5	2	1	1	670.508307404816	1
4	1	1	1	0	1	823.37548956275	0
4	1	1	2	1	1	NaN	0
4	1	2	1	0	1	331.13506436348	0
4	1	2	2	1	1	1146.89005631953	0
4	1	4	1	0	1	652.769618667662	0
4	1	4	2	1	1	974.077026359737	0
4	1	6	4	0	1	959.596718661487	0
4	1	1	1	0	1	545.97485717386	0
4	1	1	2	1	1	617.748345248401	0
4	1	2	1	1	0	1147.18770235777	1
4	1	2	2	1	1	1052.66010947526	1
4	1	3	1	0	1	541.649475693703	1
4	1	5	2	1	1	710.565964691341	1
4	1	3	1	1	1	1440.38790557534	1
4	1	5	2	0	1	1217.34858956188	1
4	1	4	1	1	0	739.005940034986	0
4	1	4	2	1	1	524.179793894291	0
4	1	6	4	1	0	1341.9209048152	0
4	1	2	1	1	1	958.79131834954	1
4	1	2	2	0	1	583.516067825258	1
4	1	3	1	1	1	360.508461482823	1
4	1	5	2	0	1	723.044260405004	1
4	1	4	1	1	1	995.836038142443	1
4	1	4	2	0	1	573.012790642679	1
4	1	6	4	1	1	446.254566311836	1
4	1	3	1	0	1	655.868289060891	0
4	1	5	2	1	1	864.071791991591	0
4	1	1	1	1	1	737.953077070415	0
4	1	1	2	0	1	674.520167522132	0
4	1	1	1	0	1	1517.24193245173	1
4	1	1	2	1	1	334.356896579266	1
4	1	2	1	1	1	646.497656591237	1
4	1	2	2	0	1	520.082953386009	1
4	1	2	1	1	1	1081.46945480257	0
4	1	2	2	0	1	619.345949031413	0
4	1	1	1	1	1	661.162715405226	0
4	1	1	2	0	1	493.70691459626	0
4	1	4	1	1	1	1190.7114405185	0
4	1	4	2	0	1	575.951965525746	0
4	1	6	4	0	0	784.751889295876	0
4	1	4	1	1	1	626.778718084097	1
4	1	4	2	0	1	539.694146253169	1
4	1	6	4	1	1	276.522397063673	1
4	1	4	1	0	1	542.008384130895	0
4	1	4	2	1	1	631.15387968719	0
