subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
4	1	2	1	NaN	0	NaN	1
4	1	2	2	1	1	1016.86145737767	1
4	1	1	1	0	1	1034.32561922818	1
4	1	1	2	1	1	938.307601027191	1
4	1	2	1	1	1	748.239145614207	0
4	1	2	2	0	1	645.785607397556	0
4	1	2	1	0	1	567.267670296133	0
4	1	2	2	1	1	464.414744637907	0
4	1	1	1	0	0	586.27313375473	0
4	1	1	2	1	0	683.448447845876	0
4	1	1	1	0	1	868.097631260753	0
4	1	1	2	0	0	877.412982285023	0
4	1	2	1	0	1	415.397167205811	1
4	1	2	2	1	1	671.714637428522	1
4	1	1	1	1	1	1497.11272213608	0
4	1	1	2	0	1	425.995470024645	0
4	1	1	1	1	1	458.780271932483	1
4	1	1	2	0	1	804.136622697115	1
4	1	1	1	1	1	597.364665009081	1
4	1	1	2	0	1	1086.97735797614	1
4	1	2	1	1	1	665.308282710612	0
4	1	2	2	0	1	1034.47348810732	0
4	1	1	1	1	1	570.806400850415	0
4	1	1	2	0	1	1420.18787562847	0
4	1	2	1	1	1	1397.70706184208	0
4	1	2	2	0	1	1222.56105672568	0
4	1	1	1	1	1	1273.16593751311	0
4	1	1	2	0	1	729.257900267839	0
4	1	2	1	0	0	898.675329983234	0
4	1	2	2	0	1	539.088947698474	0
4	1	1	1	1	1	452.794892713428	1
4	1	1	2	0	1	1197.76564929634	1
4	1	1	1	1	1	1103.97414956242	1
4	1	1	2	0	1	465.33949393779	1
4	1	2	1	1	0	954.736824147403	0
4	1	2	2	1	1	932.219382375479	0
4	1	2	1	1	1	668.925267644227	0
4	1	2	2	0	1	598.207560367882	0
4	1	1	1	1	1	720.354188233614	0
4	1	1	2	0	1	649.288777261972	0
4	1	1	1	1	0	762.570273131132	1
4	1	1	2	1	1	555.824686773121	1
4	1	2	1	1	1	564.315143041313	0
4	1	2	2	0	1	469.720774330199	0
4	1	2	1	1	1	550.178920850158	0
4	1	2	2	0	1	872.389087453485	0
4	1	2	1	1	0	1073.08063749224	0
4	1	2	2	1	1	676.117640919983	0
4	1	1	1	0	0	1011.60947140306	1
4	1	1	2	0	1	773.134231567383	1
4	1	2	1	0	0	863.684555515647	1
4	1	2	2	0	1	721.014807932079	1
4	1	1	1	1	1	570.019870065153	1
4	1	1	2	0	1	938.552211970091	1
4	1	2	1	0	1	620.334614999592	1
4	1	2	2	1	1	812.800640240312	1
4	1	2	1	0	1	758.301666937768	0
4	1	2	2	1	1	455.321363173425	0
4	1	1	1	0	1	976.744527928531	0
4	1	1	2	1	1	922.773716039956	0
4	1	1	1	0	1	482.78293851763	1
4	1	1	2	1	1	756.718852557242	1
4	1	2	1	1	1	782.026808708906	1
4	1	2	2	0	1	1031.13772440702	1
4	1	2	1	1	1	745.187602005899	0
4	1	2	2	0	1	1225.75717419386	0
4	1	2	1	1	1	459.032433107495	0
4	1	2	2	0	1	387.765998952091	0
4	1	1	1	0	1	549.674603156745	0
