subj	subj_idx	item	condition	item_mem	Bmem	Bconf
2CB	1	29013	9	1	0	0
2CB	1	18043	8	2	0	6
2CB	1	28062	8	2	0	6
2CB	1	19033	9	1	0	0
2CB	1	-16027	6	2	0	6
2CB	1	18011	8	2	0	4
2CB	1	29023	9	1	0	0
2CB	1	29055	9	1	0	0
2CB	1	25007	5	2	1	3
2CB	1	25026	5	3	1	6
2CB	1	17045	7	1	0	1
2CB	1	17062	7	1	1	4
2CB	1	29056	9	2	0	0
2CB	1	17024	7	2	0	6
2CB	1	-16058	6	1	0	0
2CB	1	25044	5	2	1	6
2CB	1	29071	9	1	0	0
2CB	1	28055	8	3	0	5
2CB	1	26033	6	2	0	6
2CB	1	-16051	6	3	0	3
2CB	1	29015	9	1	0	0
2CB	1	26021	6	3	1	2
2CB	1	17053	7	2	0	4
2CB	1	19030	9	1	0	0
2CB	1	27027	7	2	0	6
2CB	1	27039	7	2	1	4
2CB	1	25058	5	2	1	2
2CB	1	-15010	5	1	0	2
2CB	1	18063	8	2	0	6
2CB	1	26012	6	2	0	5
2CB	1	18071	8	2	0	1
2CB	1	25024	5	1	0	2
2CB	1	25038	5	2	0	4
2CB	1	27067	7	1	0	5
2CB	1	19056	9	1	0	0
2CB	1	19081	9	1	0	0
2CB	1	29010	9	1	0	0
2CB	1	26001	6	3	0	5
2CB	1	26005	6	2	0	0
2CB	1	18007	8	1	0	1
2CB	1	-15030	5	1	0	1
2CB	1	26042	6	1	0	1
2CB	1	27017	7	1	0	4
2CB	1	29090	9	1	0	0
2CB	1	19058	9	1	0	0
2CB	1	17002	7	2	0	6
2CB	1	18018	8	3	0	6
2CB	1	19001	9	1	0	0
2CB	1	19088	9	1	0	0
2CB	1	29039	9	1	0	0
2CB	1	18070	8	1	0	5
2CB	1	19050	9	2	0	0
2CB	1	19069	9	1	0	0
2CB	1	25047	5	3	0	5
2CB	1	29037	9	1	0	0
2CB	1	26010	6	2	0	5
2CB	1	25065	5	2	0	0
2CB	1	28045	8	3	0	4
2CB	1	17006	7	2	1	4
2CB	1	-16037	6	3	0	0
2CB	1	19016	9	1	0	0
2CB	1	26014	6	2	0	6
2CB	1	28036	8	2	0	2
2CB	1	27015	7	1	0	5
2CB	1	-15047	5	3	0	3
2CB	1	17068	7	2	1	5
2CB	1	19022	9	1	0	0
2CB	1	-16049	6	2	0	0
2CB	1	-15056	5	3	0	6
2CB	1	19010	9	2	0	0
2CB	1	27030	7	1	0	6
2CB	1	-16031	6	3	0	3
2CB	1	29077	9	1	0	0
2CB	1	26060	6	2	0	6
2CB	1	29075	9	1	0	0
2CB	1	18041	8	1	1	1
2CB	1	18036	8	1	0	5
2CB	1	29035	9	1	0	0
2CB	1	19026	9	1	0	0
2CB	1	27032	7	1	1	2
2CB	1	-15016	5	1	0	4
2CB	1	17020	7	1	1	6
2CB	1	19007	9	1	0	0
2CB	1	29061	9	1	0	0
2CB	1	26071	6	1	0	5
2CB	1	28064	8	1	0	6
2CB	1	18013	8	1	1	3
2CB	1	28054	8	2	0	4
2CB	1	-15021	5	1	0	1
2CB	1	27052	7	2	0	5
2CB	1	-15039	5	2	1	3
2CB	1	-15004	5	2	0	1
2CB	1	18033	8	3	0	6
2CB	1	-15066	5	3	0	4
2CB	1	19065	9	1	0	0
2CB	1	29025	9	1	0	0
2CB	1	27069	7	2	0	2
2CB	1	-16026	6	1	0	0
2CB	1	19064	9	1	0	0
2CB	1	28019	8	2	0	5
2CB	1	19063	9	1	0	0
2CB	1	27049	7	2	0	6
2CB	1	19006	9	1	0	0
2CB	1	29005	9	1	0	0
2CB	1	-15060	5	2	0	1
2CB	1	29068	9	1	0	0
2CB	1	29030	9	2	0	0
2CB	1	26004	6	2	0	1
4YP	2	19088	9	1	0	0
4YP	2	28031	8	1	1	2
4YP	2	29073	9	2	0	0
4YP	2	27042	7	1	0	4
4YP	2	27062	7	1	0	1
4YP	2	27038	7	1	1	6
4YP	2	25068	5	3	0	4
4YP	2	29065	9	1	0	0
4YP	2	18010	8	1	1	2
4YP	2	17043	7	3	1	6
4YP	2	-15049	5	1	0	3
4YP	2	25026	5	3	0	1
4YP	2	-16004	6	2	0	2
4YP	2	29002	9	1	0	0
4YP	2	25053	5	1	1	2
4YP	2	26017	6	1	0	6
4YP	2	17008	7	1	0	2
4YP	2	-15035	5	1	1	3
4YP	2	28070	8	3	0	4
4YP	2	25003	5	3	0	2
4YP	2	28059	8	1	1	5
4YP	2	18047	8	1	1	4
4YP	2	17031	7	1	0	2
4YP	2	29070	9	1	0	0
4YP	2	26013	6	1	0	1
4YP	2	-16002	6	3	1	6
4YP	2	19060	9	2	0	0
4YP	2	19051	9	1	0	0
4YP	2	25034	5	1	0	2
4YP	2	27057	7	3	0	3
4YP	2	19083	9	1	0	0
4YP	2	29033	9	1	0	0
4YP	2	-16052	6	1	1	6
4YP	2	17039	7	1	1	5
4YP	2	-15046	5	1	0	3
4YP	2	19002	9	3	0	0
4YP	2	28035	8	1	0	4
4YP	2	18006	8	2	0	1
4YP	2	19082	9	2	0	0
4YP	2	26049	6	2	0	3
4YP	2	29062	9	3	0	0
4YP	2	-16038	6	3	1	5
4YP	2	-16019	6	3	0	2
4YP	2	19028	9	3	0	0
4YP	2	29074	9	3	0	0
4YP	2	27047	7	3	0	4
4YP	2	19061	9	2	0	0
4YP	2	19005	9	1	0	0
4YP	2	18065	8	1	1	1
4YP	2	-16056	6	3	0	2
4YP	2	29045	9	2	0	0
4YP	2	-15053	5	1	1	5
4YP	2	29058	9	1	0	0
4YP	2	18070	8	1	1	4
4YP	2	19041	9	1	0	0
4YP	2	-16064	6	3	1	5
4YP	2	29049	9	1	0	0
4YP	2	27040	7	1	1	4
4YP	2	-15017	5	3	0	4
4YP	2	26044	6	3	0	2
4YP	2	-15025	5	2	0	3
4YP	2	-15013	5	3	1	5
4YP	2	19014	9	1	0	0
4YP	2	29039	9	1	0	0
4YP	2	25028	5	3	0	1
4YP	2	25055	5	3	1	5
4YP	2	19007	9	1	0	0
4YP	2	19084	9	1	0	0
4YP	2	29036	9	3	0	0
4YP	2	-16071	6	1	0	5
4YP	2	27064	7	1	0	2
4YP	2	26066	6	3	0	4
4YP	2	28021	8	2	0	4
4YP	2	28016	8	3	0	3
4YP	2	18060	8	1	0	4
4YP	2	17011	7	2	1	2
4YP	2	25045	5	3	1	2
4YP	2	-16034	6	3	0	6
4YP	2	18027	8	1	0	5
4YP	2	17022	7	1	0	2
4YP	2	29076	9	1	0	0
4YP	2	28012	8	1	0	6
4YP	2	26009	6	2	1	3
4YP	2	29021	9	2	0	0
4YP	2	27008	7	3	0	2
4YP	2	28051	8	2	0	6
4YP	2	17024	7	1	1	6
4YP	2	-16030	6	2	0	1
4YP	2	29082	9	1	0	0
4YP	2	-15015	5	1	0	1
4YP	2	29043	9	2	0	0
4YP	2	19053	9	2	0	0
4YP	2	26024	6	3	0	2
4YP	2	17042	7	1	1	4
4YP	2	19025	9	1	0	0
4YP	2	26030	6	3	1	1
4YP	2	28019	8	2	0	5
4YP	2	27005	7	2	0	3
4YP	2	29064	9	1	0	0
4YP	2	19052	9	1	0	0
4YP	2	28072	8	2	0	2
4YP	2	25001	5	1	0	1
4YP	2	17061	7	2	1	3
4YP	2	19029	9	1	0	0
4YP	2	29035	9	1	0	0
4YP	2	18057	8	1	0	2
4YP	2	-15067	5	3	1	6
4YP	2	19023	9	1	0	0
5SP	3	19037	9	3	0	0
5SP	3	-15036	5	3	1	6
5SP	3	18014	8	1	1	4
5SP	3	29054	9	1	0	0
5SP	3	17070	7	3	1	3
5SP	3	18071	8	2	0	1
5SP	3	17052	7	3	1	3
5SP	3	-16056	6	3	0	3
5SP	3	28014	8	3	0	2
5SP	3	17046	7	1	0	3
5SP	3	29006	9	2	0	0
5SP	3	28061	8	2	0	3
5SP	3	27005	7	2	0	3
5SP	3	29025	9	2	0	0
5SP	3	29053	9	1	0	0
5SP	3	28042	8	3	0	2
5SP	3	17040	7	3	1	2
5SP	3	26018	6	3	0	4
5SP	3	19010	9	2	0	0
5SP	3	29064	9	1	0	0
5SP	3	-15001	5	3	1	4
5SP	3	-16037	6	3	0	3
5SP	3	19081	9	1	0	0
5SP	3	-15061	5	1	0	1
5SP	3	17010	7	3	0	3
5SP	3	19031	9	2	0	0
5SP	3	-16026	6	3	1	3
5SP	3	-15033	5	3	1	3
5SP	3	25032	5	3	1	1
5SP	3	26020	6	3	1	4
5SP	3	19035	9	2	0	0
5SP	3	17007	7	1	0	3
5SP	3	-15011	5	1	0	3
5SP	3	29042	9	2	0	0
5SP	3	19042	9	2	0	0
5SP	3	29001	9	2	0	0
5SP	3	-16066	6	2	1	3
5SP	3	25010	5	2	0	3
5SP	3	29024	9	2	0	0
5SP	3	17024	7	3	1	5
5SP	3	18068	8	1	1	3
5SP	3	-16047	6	2	1	3
5SP	3	-16059	6	3	0	3
5SP	3	29037	9	1	0	0
5SP	3	28007	8	2	1	3
5SP	3	26056	6	3	1	5
5SP	3	19069	9	2	0	0
5SP	3	19047	9	1	0	0
5SP	3	18030	8	2	1	3
