subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
50	1	2	1	NaN	0	NaN	1
50	1	2	2	0	0	1414.4722444471	1
50	1	1	1	NaN	0	NaN	0
50	1	1	2	1	1	941.089744446799	0
50	1	2	1	0	1	1300.40104448562	1
50	1	2	2	1	1	819.84954449581	1
50	1	1	1	1	1	931.375344458502	1
50	1	1	2	0	1	833.854444441386	1
50	1	2	1	1	0	1161.8081444758	1
50	1	2	2	1	1	1121.47044448648	1
50	1	1	1	0	1	816.43044447992	1
50	1	1	2	1	1	824.196044472046	1
50	1	2	1	0	1	832.280744449235	1
50	1	2	2	1	1	1071.54074445134	1
50	1	1	1	0	1	782.825444475748	1
50	1	1	2	1	1	718.284144473728	1
50	1	2	1	0	1	981.208644458093	1
50	1	2	2	1	1	548.115244484507	1
50	1	2	1	1	1	588.246544473805	1
50	1	2	2	0	1	891.937444452196	1
50	1	2	1	1	1	1227.20194450812	0
50	1	2	2	0	1	850.539144477807	0
50	1	2	1	1	1	553.868044458795	1
50	1	2	2	0	1	592.726744478568	1
50	1	2	1	0	1	999.845344456844	1
50	1	2	2	1	1	775.286144518759	1
50	1	2	1	1	1	983.475144428667	1
50	1	2	2	0	1	862.879444495775	1
50	1	1	1	1	1	725.302244478371	1
50	1	1	2	0	1	660.975244478323	1
50	1	1	1	1	0	1228.38314448018	1
50	1	1	2	1	1	1348.32104446832	1
50	1	1	1	0	0	843.896144477185	1
50	1	1	2	0	1	1370.25664449902	1
50	1	2	1	1	1	914.518044446595	1
50	1	2	2	0	1	569.154844502918	1
50	1	1	1	1	1	849.354344478343	1
50	1	1	2	0	1	879.794144479092	1
50	1	2	1	1	1	1056.70694442233	1
50	1	2	2	0	1	912.027244456112	1
50	1	1	1	1	0	815.330644429196	1
50	1	1	2	1	1	854.092444467824	1
50	1	1	1	0	0	1397.57324446691	1
50	1	1	2	0	1	1245.6587444758	1
50	1	2	1	1	1	604.268944473006	1
50	1	2	2	0	1	707.553544430993	1
50	1	1	1	1	1	699.719644500874	0
50	1	1	2	0	1	802.185244509019	0
50	1	2	1	1	1	1233.46064449288	1
50	1	2	2	0	1	592.976544459816	1
50	1	2	1	0	1	1369.11904445151	1
50	1	2	2	1	1	864.36364450492	1
50	1	2	1	0	1	776.08414448332	1
50	1	2	2	1	1	407.221144472715	1
50	1	1	1	1	1	990.715544496197	1
50	1	1	2	0	1	597.375644487329	1
50	1	1	1	1	1	781.473644485231	1
50	1	1	2	0	1	852.574044489302	1
50	1	2	1	1	1	492.100644507445	1
50	1	2	2	0	1	666.671744489577	1
50	1	2	1	1	1	882.946844445542	0
50	1	2	2	0	1	778.283044463024	0
50	1	1	1	0	1	889.007844496518	1
50	1	1	2	1	1	769.131144450512	1
50	1	1	1	0	1	825.018044444732	1
50	1	1	2	1	1	576.329744420946	1
50	1	1	1	0	1	663.908044458367	0
50	1	1	2	1	1	447.404144448228	0
50	1	2	1	1	1	574.54024447361	1
50	1	2	2	0	1	NaN	1
50	1	1	1	1	1	573.428844509181	1
50	1	1	2	0	1	620.621344423853	1
50	1	1	1	1	1	540.01844447339	1
50	1	1	2	0	1	563.45944450004	1
50	1	2	1	0	1	699.014244484715	1
50	1	2	2	0	0	1313.20804450661	1
50	1	1	1	1	1	560.781944426708	0
50	1	1	2	0	1	641.008444479667	0
50	1	1	1	0	1	1215.74554446852	1
50	1	1	2	1	1	655.135144479573	1
50	1	1	1	0	1	838.277444476262	1
50	1	1	2	1	1	926.403244491667	1
50	1	1	1	1	1	1348.86154445121	1
50	1	1	2	0	1	780.706744466443	1
50	1	2	1	1	1	780.487044481561	1
50	1	2	2	0	1	715.300344512798	1
50	1	2	1	1	1	667.501844465733	1
50	1	2	2	0	1	601.936444465537	1
50	1	2	1	1	1	378.267244494054	1
50	1	2	2	0	1	529.481144447345	1
50	1	2	1	1	0	784.124444471672	1
50	1	2	2	1	1	640.948844491504	1
50	1	1	1	NaN	0	NaN	1
50	1	1	2	0	1	967.76194445556	1
50	1	1	1	1	1	622.854944434948	1
50	1	1	2	0	1	637.715244432911	1
50	1	2	1	1	0	1093.74374448089	1
50	1	2	2	1	1	716.454544453882	1
50	1	1	1	0	1	603.888344485313	1
50	1	1	2	1	1	795.237144455314	1
50	1	2	1	0	1	570.514344435651	1
50	1	2	2	0	0	905.810444499366	1
50	1	2	1	0	1	889.951044460759	1
50	1	2	2	1	1	609.455244499259	1
50	1	1	1	0	1	896.817044471391	1
50	1	1	2	1	1	896.151144464966	1
50	1	2	1	0	0	510.917744482867	1
50	1	2	2	0	1	454.705444455612	1
50	1	2	1	1	0	1302.33324447181	1
50	1	2	2	1	1	716.729944455437	1
50	1	1	1	0	1	540.305144502781	1
50	1	1	2	1	1	403.562244493514	1
50	1	1	1	0	1	658.884444506839	1
50	1	1	2	0	0	1203.09064444155	1
50	1	1	1	1	1	785.948944510892	1
50	1	1	2	0	1	913.8096444658	1
50	1	2	1	0	1	1001.0322444723	1
50	1	2	2	1	1	663.989244494587	1
50	1	2	1	1	1	839.991044427734	1
50	1	2	2	0	1	671.872244449332	1
50	1	2	1	0	1	822.865644469857	1
50	1	2	2	1	1	902.01384446118	1
50	1	1	1	1	1	678.21714450838	1
50	1	1	2	0	1	757.582044461742	1
50	1	2	1	1	1	540.113944443874	0
50	1	2	2	0	1	531.449344474822	0
50	1	2	1	1	0	595.084244501777	1
50	1	2	2	1	1	746.244344511069	1
50	1	1	1	0	1	666.583044512663	1
50	1	1	2	1	1	417.844644456636	1
50	1	1	1	1	1	489.386244502384	1
50	1	1	2	0	1	439.844144450035	1
50	1	1	1	0	1	447.259244509041	1
50	1	1	2	1	1	534.714944486041	1
50	1	2	1	1	1	518.583144468721	1
50	1	2	2	0	1	493.410944472998	1
50	1	2	1	0	1	845.445544458926	1
50	1	2	2	1	1	540.105344494805	1
50	1	1	1	0	1	596.116144501138	1
50	1	1	2	1	1	723.400844493881	1
50	1	1	1	1	1	442.228144442197	1
50	1	1	2	0	1	521.577144449111	1
