subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
50	1	2	1	NaN	0	NaN	1
50	1	2	2	0	1	499.672043137252	1
50	1	2	1	1	1	859.756543126423	1
50	1	2	2	0	1	547.19294316601	1
50	1	1	1	1	1	626.405443123076	1
50	1	1	2	0	1	585.322043159977	1
50	1	1	1	1	1	473.150843172334	1
50	1	1	2	0	1	487.890043179505	1
50	1	2	1	1	1	487.30654316023	0
50	1	2	2	0	1	510.740043129772	0
50	1	2	1	1	0	942.129343166016	1
50	1	2	2	1	1	533.608943165746	1
50	1	1	1	0	1	541.476843180135	1
50	1	1	2	1	1	452.283243124839	1
50	1	1	1	0	0	1124.17514313711	1
50	1	1	2	0	1	532.32124313945	1
50	1	2	1	1	1	515.550643089227	1
50	1	2	2	0	1	491.09774309909	1
50	1	1	1	1	0	530.013643146958	1
50	1	1	2	1	1	617.837343132123	1
50	1	4	1	1	1	521.192243089899	1
50	1	4	2	0	1	568.641843099613	1
50	1	6	4	1	1	807.480343151838	1
50	1	3	1	1	1	839.325743145309	1
50	1	5	2	0	1	590.690343116876	1
50	1	2	1	0	1	765.492843172979	1
50	1	2	2	1	1	452.628743136302	1
50	1	1	1	1	1	1428.77244309057	1
50	1	1	2	0	1	859.508743102197	1
50	1	4	1	1	1	506.965943146497	1
50	1	4	2	0	1	578.345343179535	1
50	1	6	4	1	1	897.546043153852	1
50	1	3	1	1	1	697.659543133341	1
50	1	5	2	0	1	968.365243112203	1
50	1	1	1	1	1	592.471743118949	1
50	1	1	2	0	1	527.091343130451	1
50	1	2	1	1	0	767.357143166009	1
50	1	2	2	1	1	485.861843160819	1
50	1	3	1	0	0	621.515043138061	1
50	1	5	2	1	0	941.319743113127	1
50	1	2	1	1	1	555.914843105711	1
50	1	2	2	0	1	604.214543127455	1
50	1	2	1	1	1	724.219643161632	0
50	1	2	2	0	1	531.380043132231	0
50	1	4	1	0	1	682.87854315713	1
50	1	4	2	1	1	529.610243160278	1
50	1	6	4	0	1	585.044243140146	1
50	1	4	1	1	1	521.198243135586	0
50	1	4	2	0	1	503.889243118465	0
50	1	6	4	1	1	551.011043135077	0
50	1	3	1	0	1	487.14034317527	1
50	1	5	2	1	1	630.057743110228	1
50	1	1	1	0	1	797.786943090614	1
50	1	1	2	1	1	556.705843133386	1
50	1	1	1	0	1	531.7097431398	1
50	1	1	2	1	1	507.42894312134	1
50	1	4	1	0	1	530.541843094397	1
50	1	4	2	1	1	634.038643154781	1
50	1	6	4	0	1	633.62434314331	1
50	1	3	1	1	1	601.050343131647	1
50	1	5	2	0	1	632.360843126662	1
50	1	4	1	1	1	519.643143168651	1
50	1	4	2	0	1	726.792743138503	1
50	1	6	4	1	1	614.372243115213	1
50	1	3	1	0	1	597.588543139864	1
50	1	5	2	1	1	629.734743153676	1
50	1	4	1	0	1	556.978243112098	1
50	1	4	2	1	1	661.268043157179	1
50	1	6	4	0	1	692.078943131492	1
50	1	3	1	1	1	595.876143139321	1
50	1	5	2	0	1	770.432543125935	1
50	1	4	1	1	1	634.677543130238	1
50	1	4	2	0	1	505.348843173124	1
50	1	6	4	1	1	529.399743129034	1
50	1	3	1	0	1	512.832643114962	1
50	1	5	2	1	1	567.448043148033	1
50	1	3	1	0	1	710.91754315421	1
50	1	5	2	0	0	1230.34324316541	1
50	1	4	1	1	1	605.658443178982	0
50	1	4	2	0	1	525.498843169771	0
50	1	6	4	1	1	604.580343118869	0
50	1	2	1	NaN	0	NaN	1
50	1	2	2	0	1	584.262843127362	1
50	1	1	1	1	0	671.253243170213	1
50	1	1	2	1	1	487.110643123742	1
50	1	1	1	0	0	686.442843114492	1
50	1	1	2	0	1	845.777543145232	1
50	1	2	1	1	1	477.255443111062	1
50	1	2	2	0	1	564.568743167911	1
50	1	1	1	0	1	1083.8508431334	1
50	1	1	2	1	1	570.611543138511	1
50	1	1	1	0	1	802.22274310654	1
50	1	1	2	1	1	370.169943140354	1
50	1	2	1	0	0	1081.52424311265	0
50	1	2	2	0	1	705.105943139642	0
50	1	2	1	1	0	1032.72674308391	1
50	1	2	2	1	1	711.714143108111	1
50	1	3	1	0	1	782.999743183609	1
50	1	5	2	1	1	670.524843153544	1
50	1	1	1	0	1	533.699343097396	1
50	1	1	2	1	1	581.041443161666	1
50	1	2	1	0	0	1309.15674311109	1
50	1	2	2	0	1	924.574643140659	1
50	1	4	1	1	1	547.833743097726	1
50	1	4	2	0	1	474.582843133248	1
50	1	6	4	1	1	618.845743127167	1
50	1	2	1	0	1	833.207543124445	1
50	1	2	2	1	1	576.561343157664	1
50	1	3	1	0	0	720.801943156403	1
50	1	5	2	0	1	928.13034314895	1
50	1	1	1	1	0	1023.55414314661	1
50	1	1	2	1	1	606.861843087245	1
50	1	1	1	0	1	581.766443152446	0
50	1	1	2	1	1	500.98734308267	0
50	1	2	1	0	1	708.939243166242	1
50	1	2	2	1	1	515.638843120541	1
50	1	1	1	1	1	667.817443143576	1
50	1	1	2	0	1	490.417743101716	1
50	1	4	1	1	1	513.758843124378	1
50	1	4	2	0	1	530.239343177527	1
50	1	6	4	1	1	537.399043096229	1
50	1	3	1	0	1	537.26004314376	1
50	1	5	2	1	1	736.673443112522	1
50	1	1	1	1	1	583.407443133183	1
50	1	1	2	0	1	607.391543162521	1
50	1	3	1	1	0	1262.64234312112	1
50	1	5	2	1	1	621.400343137793	1
50	1	4	1	0	1	485.762043157592	1
50	1	4	2	1	1	516.882843105122	1
50	1	6	4	0	1	788.36624318501	1
50	1	4	1	1	1	635.662443120964	0
50	1	4	2	0	1	466.516943124589	0
50	1	6	4	1	1	666.515343124047	0
50	1	4	1	0	1	601.800743141212	1
50	1	4	2	1	1	520.651243103202	1
50	1	6	4	0	1	535.796643118374	1
50	1	2	1	0	1	1063.86814313009	1
50	1	2	2	1	1	566.606443142518	1
50	1	3	1	0	1	565.88624313008	1
50	1	5	2	1	1	485.372343100607	1
50	1	3	1	0	1	644.740443094634	1
50	1	5	2	1	1	556.123743124772	1
50	1	2	1	0	1	507.492343138438	1
50	1	2	2	1	1	459.12014314672	1
50	1	4	1	0	1	362.900043139234	1
50	1	4	2	1	1	498.289143142756	1
50	1	6	4	0	1	577.704143128358	1
50	1	4	1	1	1	633.71204311261	1
50	1	4	2	0	1	504.949143098202	1
50	1	6	4	1	1	544.555743166711	1
