subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
50	1	1	1	NaN	0	NaN	1
50	1	1	2	1	1	600.761542911641	1
50	1	1	1	1	1	1144.11784289405	1
50	1	1	2	0	1	495.559342904016	1
50	1	2	1	1	1	398.890442913398	1
50	1	2	2	0	1	469.649942941032	1
50	1	2	1	1	1	533.054842904676	0
50	1	2	2	0	1	436.428742890712	0
50	1	2	1	1	0	275.886442919727	1
50	1	2	2	1	1	331.080342934001	1
50	1	1	1	0	1	467.85774291493	1
50	1	1	2	1	1	394.51464288868	1
50	1	1	1	0	0	938.489442924038	1
50	1	1	2	0	1	721.843142877333	1
50	1	1	1	1	0	784.548542869743	1
50	1	1	2	1	1	455.896542873234	1
50	1	1	1	0	1	584.127942915075	1
50	1	1	2	1	1	463.401242857799	1
50	1	1	1	0	0	885.888242919464	1
50	1	1	2	0	1	NaN	1
50	1	1	1	1	1	540.888342889957	0
50	1	1	2	0	1	588.49874290172	0
50	1	2	1	1	1	747.724142856896	1
50	1	2	2	0	1	651.270042872056	1
50	1	1	1	1	0	554.3060429045	1
50	1	1	2	1	1	658.400342916138	1
50	1	2	1	0	1	577.855342882685	1
50	1	2	2	1	1	489.03424286982	1
50	1	2	1	0	0	1015.7969428692	1
50	1	2	2	0	1	575.232342933305	1
50	1	1	1	1	1	510.669842886273	1
50	1	1	2	0	1	629.858842934482	1
50	1	2	1	1	0	597.539142938331	1
50	1	2	2	1	1	581.456442887429	1
50	1	1	1	1	1	556.681142887101	1
50	1	1	2	0	1	427.601742907427	1
50	1	2	1	1	1	506.770442880224	1
50	1	2	2	0	1	819.529842876364	1
50	1	1	1	1	1	514.356642903294	1
50	1	1	2	0	1	577.5787429302	1
50	1	1	1	1	1	377.719842945226	1
50	1	1	2	0	1	760.404342901893	1
50	1	2	1	1	0	1104.53554289415	1
50	1	2	2	1	1	623.306642868556	1
50	1	2	1	0	1	582.375242898706	1
50	1	2	2	1	1	414.33504287852	1
50	1	2	1	1	1	918.034142930992	1
50	1	2	2	0	1	516.8732428574	1
50	1	1	1	1	0	788.735242909752	0
50	1	1	2	1	1	443.430642888416	0
50	1	1	1	0	1	579.033042886294	1
50	1	1	2	1	1	546.287842909805	1
50	1	2	1	0	1	801.478142908309	1
50	1	2	2	1	1	472.890442877542	1
50	1	1	1	0	1	520.881842938252	1
50	1	1	2	1	1	479.57044292707	1
50	1	2	1	1	1	503.069742873777	1
50	1	2	2	0	1	414.973842911422	1
50	1	1	1	1	1	462.365742889233	1
50	1	1	2	0	1	565.968842885923	1
50	1	2	1	1	0	916.628842940554	1
50	1	2	2	1	1	668.622042867355	1
50	1	2	1	0	1	547.579642850906	1
50	1	2	2	1	1	370.835642912425	1
50	1	2	1	1	1	818.553342891391	1
50	1	2	2	0	1	794.150842877571	1
50	1	1	1	1	0	449.519842863083	1
