subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
1	1	2	1	0	1	784.720936528174	0
1	1	2	2	1	1	687.102616895572	0
1	1	1	1	0	1	669.193903828273	1
1	1	1	2	1	1	612.127996922936	1
1	1	2	1	0	0	481.596146753873	0
1	1	2	2	0	1	649.118709610775	0
1	1	2	1	1	1	550.992944379686	0
1	1	2	2	0	1	645.38391646056	0
1	1	2	1	1	1	556.51817524631	1
1	1	2	2	0	1	490.844373111031	1
1	1	1	1	1	1	624.941006346489	0
1	1	1	2	0	1	511.180595276528	0
1	1	1	1	0	1	678.049210109748	1
1	1	1	2	1	1	563.42725896684	1
1	1	2	1	0	1	577.578407726833	0
1	1	2	2	1	1	560.486535352538	0
1	1	1	1	1	1	503.987245814642	0
1	1	1	2	0	1	590.091562087764	0
1	1	2	1	1	1	644.621796178399	1
1	1	2	2	0	1	570.085766070406	1
1	1	1	1	0	1	609.151535812998	0
1	1	1	2	1	1	622.702287248103	0
1	1	2	1	1	1	493.579718196997	0
1	1	2	2	0	1	619.55579991627	0
1	1	2	1	0	1	505.475322337588	0
1	1	2	2	1	1	544.918153274921	0
1	1	1	1	1	1	799.359616125003	1
1	1	1	2	0	1	502.013936857111	1
1	1	1	1	0	1	572.397937125061	1
1	1	1	2	1	1	522.996820072876	1
1	1	1	1	1	1	448.35637860524	0
1	1	1	2	0	1	518.449310664437	0
1	1	2	1	1	1	621.718596361461	0
1	1	2	2	0	1	683.507353678579	0
1	1	1	1	0	1	641.603395546554	0
1	1	1	2	0	0	1137.53387820907	0
1	1	2	1	1	1	646.965941137751	1
1	1	2	2	0	1	701.531795639312	1
1	1	1	1	0	1	635.426861757878	0
1	1	1	2	1	1	530.250058014644	0
1	1	2	1	0	1	560.887225903571	0
1	1	2	2	1	1	607.233573726262	0
1	1	1	1	0	1	588.76929001417	0
1	1	1	2	1	1	563.164936073008	0
1	1	2	1	0	1	554.294574350934	0
1	1	2	2	1	1	529.063612921163	0
1	1	2	1	0	0	767.238104788703	1
1	1	2	2	0	1	925.760317681124	1
1	1	1	1	1	1	555.832035286585	1
1	1	1	2	0	1	610.665001353482	1
1	1	1	1	1	0	584.964057605248	0
1	1	1	2	1	1	766.490848865942	0
1	1	2	1	1	1	709.583772695623	0
1	1	2	2	0	1	692.19902039913	0
1	1	2	1	1	1	578.181669217884	0
1	1	2	2	0	1	505.185402929783	0
1	1	2	1	0	1	535.705447458895	1
1	1	2	2	1	1	541.236553617637	1
1	1	1	1	1	1	572.309109789785	0
1	1	1	2	0	1	585.97416698467	0
1	1	2	1	0	1	792.105802567676	1
1	1	2	2	1	1	566.802433269913	1
1	1	1	1	0	1	652.922365421546	1
1	1	1	2	1	1	644.084490471869	1
1	1	1	1	0	1	682.551220845198	0
1	1	1	2	1	1	656.477631535381	0
1	1	1	1	1	1	902.698494741344	0
1	1	1	2	0	1	717.254447765299	0
1	1	2	1	0	1	635.355168924434	0
1	1	2	2	1	1	474.590354933753	0
1	1	1	1	0	0	552.771260743611	1
1	1	1	2	0	1	551.424769175355	1
1	1	2	1	1	0	789.332582688075	0
1	1	2	2	1	1	731.648569577374	0
1	1	1	1	0	1	770.148294541286	1
1	1	1	2	1	1	832.573398540262	1
1	1	1	1	0	1	623.541843466228	1
1	1	1	2	1	1	670.286591499462	1
1	1	1	1	1	1	612.169481435558	1
1	1	1	2	0	1	618.020137859276	1
1	1	2	1	0	1	680.25044350361	1
1	1	2	2	1	1	863.390693746624	1
1	1	1	1	0	1	988.673841042328	1
1	1	1	2	1	1	587.688540617819	1
1	1	1	1	1	1	697.413000496454	0
1	1	1	2	0	1	560.954276530538	0
1	1	2	1	0	1	710.968036044505	1
1	1	2	2	1	1	853.833203887916	1
1	1	1	1	1	1	635.267797668348	1
1	1	1	2	0	1	610.878488456365	1
1	1	2	1	1	1	608.211112237768	0
1	1	2	2	0	1	710.33975717728	0
1	1	1	1	1	1	828.746368249995	0
1	1	1	2	0	1	635.170913199545	0
1	1	2	1	0	1	505.918533162912	0
1	1	2	2	1	1	585.349972869153	0
1	1	1	1	1	1	718.672322283965	1
1	1	1	2	0	1	773.271258251043	1
1	1	1	1	0	1	483.960798068438	0
1	1	1	2	1	1	553.854205340031	0
1	1	2	1	0	1	528.174845778267	0
1	1	2	2	1	1	606.677722171298	0
1	1	1	1	1	1	700.883097262704	0
1	1	1	2	0	1	931.49491091026	0
1	1	1	1	1	1	929.725497771869	0
1	1	1	2	0	1	808.578867465258	0
1	1	1	1	1	0	918.64986604196	0
1	1	1	2	1	1	797.341651894385	0
1	1	2	1	1	1	604.465269236243	0
1	1	2	2	0	1	562.732392718317	0
1	1	2	1	0	1	671.964598208433	0
1	1	2	2	1	1	655.14381248795	0
1	1	2	1	1	1	612.56787936145	1
1	1	2	2	0	1	667.79800952645	1
1	1	2	1	1	1	818.102096571238	0
1	1	2	2	0	1	553.044199536089	0
1	1	1	1	0	1	551.023516614805	1
1	1	1	2	1	1	581.349272208172	1
1	1	1	1	0	0	979.306801920757	1
1	1	1	2	0	1	681.928535268526	1
1	1	2	1	1	1	529.039019107586	1
1	1	2	2	0	1	918.341246928321	1
1	1	2	1	1	0	1252.96407291899	0
1	1	2	2	1	1	635.958600469166	0
1	1	2	1	0	1	705.473375492147	1
1	1	2	2	1	1	656.882756244158	1
1	1	1	1	0	1	494.863810905372	1
1	1	1	2	1	1	533.407282215194	1
1	1	1	1	0	1	523.841092872317	0
1	1	1	2	1	1	417.957779354765	0
1	1	2	1	0	1	425.056657099049	0
1	1	2	2	1	1	550.907547396491	0
1	1	2	1	0	1	461.630093268468	0
1	1	2	2	1	1	499.817365736817	0
1	1	2	1	1	1	793.98740742181	0
1	1	2	2	0	1	616.621326160384	0
1	1	1	1	1	1	583.107782469597	0
1	1	1	2	0	1	525.227390855434	0
1	1	2	1	1	1	603.485439540236	0
1	1	2	2	0	1	657.950406020973	0
1	1	2	1	1	1	520.925281394739	0
1	1	2	2	0	1	655.293382471427	0
1	1	1	1	1	1	613.141470603296	1
1	1	1	2	0	1	802.897557558026	1
1	2	1	1	1	1	902.455985386041	0
1	2	1	2	0	1	NaN	0
1	2	1	1	1	1	755.62315377465	0
1	2	1	2	0	1	512.893577862997	0
1	2	2	1	0	1	736.416659216047	0
1	2	2	2	1	1	566.800018103095	0
1	2	1	1	0	1	508.579388537328	0
1	2	1	2	1	1	523.371511968435	0
1	2	1	1	0	1	585.434599517612	1
1	2	1	2	1	1	527.934708065004	1
1	2	1	1	0	1	597.904829613981	1
1	2	1	2	1	1	557.280885041109	1
1	2	1	1	1	1	562.630964035634	0
1	2	1	2	0	1	657.784061244456	0
1	2	2	1	0	1	1039.32392172283	0
1	2	2	2	1	1	550.788703752914	0
1	2	1	1	1	1	508.773213659879	0
1	2	1	2	0	1	643.310200597625	0
1	2	1	1	1	1	545.832338248147	0
1	2	1	2	0	1	624.002745040343	0
1	2	2	1	1	1	598.938273673411	1
1	2	2	2	0	1	572.442185526597	1
1	2	1	1	0	1	586.618796398398	0
1	2	1	2	1	1	585.248236355255	0
1	2	1	1	0	1	624.230792775052	1
1	2	1	2	1	1	558.300048171077	1
1	2	2	1	1	1	597.321653709514	0
1	2	2	2	0	1	587.332222639816	0
1	2	1	1	0	1	530.089635241893	0
1	2	1	2	1	1	584.737705270527	0
1	2	1	1	1	1	582.989644957706	0
1	2	1	2	0	1	565.216972841881	0
1	2	2	1	0	1	515.139528884902	0
1	2	2	2	1	1	545.290110938367	0
1	2	1	1	0	1	519.870768242981	1
1	2	1	2	1	1	655.111859334284	1
1	2	2	1	1	1	581.04939686018	0
1	2	2	2	0	1	611.241644175607	0
1	2	2	1	1	1	618.316573891207	0
1	2	2	2	0	1	704.336282724398	0
