subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
1	1	2	1	0	1	562.260278005851	0
1	1	2	2	1	1	584.222868987126	0
1	1	2	1	0	1	527.441573998658	0
1	1	2	2	1	1	524.826398002915	0
1	1	1	1	0	1	572.838371997932	1
1	1	1	2	1	1	466.097318014363	1
1	1	1	1	0	1	568.817819992546	0
1	1	1	2	1	1	582.744652987458	0
1	1	2	1	NaN	0	NaN	0
1	1	2	2	0	0	NaN	0
1	1	1	1	1	1	666.625584010035	0
1	1	1	2	0	1	527.093448006781	0
1	1	2	1	1	1	621.976459980942	1
1	1	2	2	0	1	668.964975979179	1
1	1	2	1	0	1	1420.55217799498	0
1	1	2	2	1	1	626.408914016793	0
1	1	1	1	1	1	640.827701980015	0
1	1	1	2	0	1	535.974026017357	0
1	1	1	1	0	1	701.585324975895	0
1	1	1	2	1	1	578.825464006513	0
1	1	2	1	1	1	626.803129009204	0
1	1	2	2	0	1	552.782568003749	0
1	1	1	1	0	1	558.799464983167	1
1	1	1	2	0	0	533.397635997972	1
1	1	1	1	0	1	555.913538992172	0
1	1	1	2	1	1	465.46931299963	0
1	1	1	1	0	1	712.904144020285	1
1	1	1	2	1	1	614.87806000514	1
1	1	2	1	0	1	589.339531987207	0
1	1	2	2	1	1	490.639020019444	0
1	1	1	1	1	1	490.503765991889	0
1	1	1	2	0	1	480.464638996636	0
1	1	2	1	1	1	462.404508027248	1
1	1	2	2	0	1	508.999329991639	1
1	1	2	1	1	1	460.157729015918	0
1	1	2	2	0	1	498.145133024082	0
1	1	1	1	1	1	528.783123998437	0
1	1	1	2	0	1	463.556468981551	0
1	1	2	1	1	1	517.504535993794	0
1	1	2	2	0	1	683.643959986512	0
1	1	1	1	1	1	522.698643995682	0
1	1	1	2	0	1	559.920092986431	0
1	1	2	1	1	1	517.964581027627	0
1	1	2	2	0	1	573.300381976878	0
1	1	2	1	0	1	667.386966000777	0
1	1	2	2	1	1	458.092175016645	0
1	1	2	1	0	1	632.354206987657	1
1	1	2	2	1	1	511.580101010622	1
1	1	1	1	1	1	669.7327500151	1
1	1	1	2	0	1	507.780114014167	1
1	1	1	1	1	0	545.630575012183	1
1	1	1	2	1	1	535.584805009421	1
1	1	2	1	1	1	565.781073994003	1
1	1	2	2	0	1	557.463286007987	1
1	1	1	1	1	1	556.679430999793	1
1	1	1	2	0	1	513.909450994106	1
1	1	2	1	0	1	552.983197005233	0
1	1	2	2	1	1	614.786249992903	0
1	1	2	1	0	1	540.78206201666	0
1	1	2	2	1	1	515.817192004761	0
1	1	1	1	0	1	585.549553012243	0
1	1	1	2	1	1	496.488601987949	0
1	1	1	1	0	1	518.377358996077	1
1	1	1	2	1	1	508.870960999047	1
1	1	1	1	1	1	604.493947001174	0
1	1	1	2	0	1	546.77926300792	0
1	1	2	1	1	1	520.060534996446	0
1	1	2	2	0	1	470.704740990186	0
1	1	1	1	0	0	629.397188982693	1
1	1	1	2	0	1	611.203100008424	1
1	1	2	1	1	1	642.167810001411	0
1	1	2	2	0	1	560.928035003599	0
1	1	1	1	0	1	1236.99314400437	0
1	1	1	2	1	1	NaN	0
1	1	2	1	1	1	696.637799002929	0
1	1	2	2	0	1	615.649106999626	0
1	1	2	1	1	1	518.418236984871	0
1	1	2	2	0	1	493.254061992047	0
1	1	1	1	0	1	556.00777399377	0
1	1	1	2	1	1	474.143889005063	0
1	1	1	1	0	1	415.829826000845	1
1	1	1	2	1	1	438.825742981862	1
1	1	1	1	0	1	397.537171986187	0
1	1	1	2	1	1	490.989397017984	0
1	1	1	1	1	1	512.705336994259	0
1	1	1	2	0	1	487.321247026557	0
1	1	2	1	0	1	389.550015010173	0
1	1	2	2	1	1	412.623555981554	0
1	1	2	1	0	0	595.23938500206	1
1	1	2	2	0	1	577.409226010786	1
1	1	2	1	1	0	600.584617001005	0
1	1	2	2	1	1	789.853324997239	0
1	1	1	1	1	1	636.424365977291	1
1	1	1	2	0	1	603.72458898928	1
1	1	2	1	0	1	480.797682015691	0
1	1	2	2	1	1	463.98976497585	0
1	1	1	1	0	1	526.490281015867	1
1	1	1	2	1	1	501.418784988346	1
1	1	2	1	1	1	691.429971979233	0
1	1	2	2	0	1	NaN	0
1	1	2	1	1	1	455.569206998916	0
1	1	2	2	0	1	454.189737996785	0
1	1	1	1	1	1	476.300811977126	1
1	1	1	2	0	1	546.717254008399	1
1	1	2	1	1	0	304.598971997621	0
1	1	2	2	1	1	664.520981983515	0
1	1	2	1	0	1	517.718336981488	1
1	1	2	2	1	1	532.991399028106	1
1	1	2	1	0	0	707.625395007199	0
1	1	2	2	0	1	553.178733011009	0
1	1	2	1	0	1	655.711827013874	1
1	1	2	2	1	1	550.171032984508	1
1	1	1	1	0	1	613.477139995666	0
1	1	1	2	1	1	570.768546022009	0
1	1	1	1	0	1	745.371766010066	1
