subj	subj_idx	item	condition	item_mem	Bmem	Bconf
50AG	1	29066	9	2	0	0
50AG	1	26004	6	3	1	6
50AG	1	19063	9	2	0	0
50AG	1	17003	7	3	1	6
50AG	1	25062	5	3	0	1
50AG	1	29012	9	1	0	0
50AG	1	18034	8	2	1	4
50AG	1	19008	9	1	0	0
50AG	1	29056	9	1	0	0
50AG	1	-15070	5	3	1	2
50AG	1	19054	9	1	0	0
50AG	1	28032	8	3	1	5
50AG	1	18025	8	2	1	6
50AG	1	19028	9	1	0	0
50AG	1	29038	9	1	0	0
50AG	1	28045	8	2	1	5
50AG	1	19003	9	1	0	0
50AG	1	27018	7	2	1	6
50AG	1	19073	9	1	0	0
50AG	1	29018	9	2	0	0
50AG	1	-16039	6	3	1	6
50AG	1	17009	7	2	1	6
50AG	1	-16043	6	3	1	3
50AG	1	19019	9	1	0	0
50AG	1	19017	9	1	0	0
50AG	1	-15005	5	3	0	1
50AG	1	28027	8	3	1	6
50AG	1	-16002	6	3	1	6
50AG	1	26054	6	2	1	4
50AG	1	19030	9	1	0	0
50AG	1	17057	7	3	1	4
50AG	1	28052	8	2	1	6
50AG	1	26034	6	3	1	6
50AG	1	17071	7	3	1	6
50AG	1	17030	7	2	1	6
50AG	1	29048	9	1	0	0
50AG	1	17035	7	1	1	4
50AG	1	18048	8	2	1	6
50AG	1	-15059	5	3	1	4
50AG	1	25024	5	3	1	6
50AG	1	-16021	6	3	1	6
50AG	1	18028	8	2	1	6
50AG	1	26019	6	3	1	5
50AG	1	25008	5	2	1	3
50AG	1	-15031	5	1	1	6
50AG	1	19029	9	1	0	0
50AG	1	-15019	5	2	1	6
50AG	1	-16063	6	1	1	6
50AG	1	29031	9	2	0	0
50AG	1	-15013	5	3	1	4
50AG	1	17067	7	2	1	3
50AG	1	19056	9	1	0	0
50AG	1	27022	7	2	1	6
50AG	1	18037	8	3	1	6
50AG	1	19070	9	2	0	0
50AG	1	18054	8	2	1	6
50AG	1	29085	9	2	0	0
50AG	1	29057	9	2	0	0
50AG	1	26011	6	3	0	2
50AG	1	26005	6	3	1	4
50AG	1	25010	5	3	1	5
50AG	1	28050	8	2	1	6
50AG	1	26071	6	2	1	6
50AG	1	-16049	6	3	1	6
50AG	1	28068	8	2	1	4
50AG	1	29059	9	2	0	0
50AG	1	18007	8	2	1	4
50AG	1	27065	7	3	1	4
50AG	1	27044	7	2	1	6
50AG	1	25015	5	3	1	3
50AG	1	18052	8	2	1	3
50AG	1	19034	9	1	0	0
50AG	1	29027	9	2	0	0
50AG	1	17015	7	2	1	4
50AG	1	18041	8	2	1	6
50AG	1	29043	9	1	0	0
50AG	1	18062	8	2	1	4
50AG	1	29042	9	1	0	0
50AG	1	26048	6	3	0	2
50AG	1	-15045	5	3	1	3
50AG	1	19059	9	1	0	0
50AG	1	29077	9	1	0	0
50AG	1	25030	5	3	1	3
50AG	1	25001	5	3	1	6
50AG	1	27038	7	2	0	1
50AG	1	25014	5	3	1	5
50AG	1	29045	9	1	0	0
50AG	1	28056	8	3	0	3
