Experiment	subject	viol_intact	Bmem_rates
1	2	1	0.416666666666667
1	3	1	0.472222222222222
1	6	1	0.722222222222222
1	8	1	0.805555555555556
1	9	1	0.555555555555556
1	10	1	0.472222222222222
1	11	1	0.5
1	12	1	0.361111111111111
1	13	1	0.5
1	14	1	0.555555555555556
1	15	1	0.555555555555556
1	16	1	0.694444444444444
1	17	1	0.805555555555556
1	19	1	0.583333333333333
1	20	1	0.472222222222222
1	22	1	0.666666666666667
1	24	1	0.833333333333333
1	25	1	0.305555555555556
1	26	1	0.666666666666667
1	31	1	0.527777777777778
1	32	1	0.388888888888889
1	33	1	0.666666666666667
1	34	1	0.777777777777778
1	35	1	0.472222222222222
1	36	1	0.944444444444444
1	37	1	0.583333333333333
1	38	1	0.777777777777778
1	39	1	0.416666666666667
1	2	0	0.333333333333333
1	3	0	0.583333333333333
1	6	0	0.833333333333333
1	8	0	0.666666666666667
1	9	0	0.5
1	10	0	0.611111111111111
1	11	0	0.361111111111111
1	12	0	0.416666666666667
1	13	0	0.416666666666667
1	14	0	0.305555555555556
1	15	0	0.555555555555556
1	16	0	0.555555555555556
1	17	0	0.777777777777778
1	19	0	0.611111111111111
1	20	0	0.5
1	22	0	0.722222222222222
1	24	0	0.833333333333333
1	25	0	0.416666666666667
1	26	0	0.805555555555556
1	31	0	0.472222222222222
1	32	0	0.416666666666667
1	33	0	0.611111111111111
1	34	0	0.777777777777778
1	35	0	0.444444444444444
1	36	0	1
1	37	0	0.583333333333333
1	38	0	0.555555555555556
1	39	0	0.694444444444444
2	201	1	0.888888888888889
2	202	1	0.722222222222222
2	204	1	0.444444444444444
2	205	1	0.416666666666667
2	206	1	0.666666666666667
2	207	1	0.611111111111111
2	209	1	0.444444444444444
2	210	1	0.444444444444444
2	211	1	0.416666666666667
2	212	1	0.805555555555556
2	213	1	0.416666666666667
2	214	1	0.694444444444444
2	215	1	0.555555555555556
2	217	1	0.611111111111111
2	218	1	0.638888888888889
2	219	1	0.555555555555556
2	220	1	0.277777777777778
2	221	1	1
2	223	1	0.777777777777778
2	224	1	0.638888888888889
2	225	1	0.5
2	226	1	0.666666666666667
2	227	1	0.361111111111111
2	228	1	0.694444444444444
2	229	1	0.694444444444444
2	230	1	0.666666666666667
2	231	1	0.388888888888889
2	232	1	0.472222222222222
2	201	0	0.916666666666667
2	202	0	0.805555555555556
2	204	0	0.25
2	205	0	0.361111111111111
2	206	0	0.833333333333333
2	207	0	0.583333333333333
2	209	0	0.472222222222222
2	210	0	0.5
2	211	0	0.472222222222222
2	212	0	0.666666666666667
2	213	0	0.333333333333333
2	214	0	0.638888888888889
2	215	0	0.527777777777778
2	217	0	0.583333333333333
2	218	0	0.638888888888889
2	219	0	0.666666666666667
2	220	0	0.472222222222222
2	221	0	1
2	223	0	0.694444444444444
2	224	0	0.694444444444444
2	225	0	0.611111111111111
2	226	0	0.611111111111111
2	227	0	0.5
2	228	0	0.805555555555556
2	229	0	0.611111111111111
2	230	0	0.583333333333333
2	231	0	0.416666666666667
2	232	0	0.472222222222222
3	301	1	0.472222222222222
3	302	1	0.916666666666667
3	303	1	0.388888888888889
3	304	1	0.388888888888889
3	305	1	0.416666666666667
3	306	1	0.583333333333333
3	307	1	0.444444444444444
3	308	1	0.416666666666667
3	309	1	0.333333333333333
3	310	1	0.472222222222222
3	311	1	0.25
3	312	1	0.25
3	313	1	0.333333333333333
3	314	1	0.388888888888889
3	315	1	0.5
3	316	1	0.388888888888889
3	317	1	0.444444444444444
3	318	1	0.305555555555556
3	319	1	0.333333333333333
3	320	1	0.361111111111111
3	321	1	0.333333333333333
3	322	1	0.388888888888889
3	323	1	0.305555555555556
3	324	1	0.611111111111111
3	325	1	0.361111111111111
3	326	1	0.527777777777778
3	327	1	0.277777777777778
3	328	1	0.416666666666667
3	301	0	0.305555555555556
3	302	0	0.833333333333333
3	303	0	0.194444444444444
3	304	0	0.527777777777778
3	305	0	0.388888888888889
3	306	0	0.361111111111111
3	307	0	0.333333333333333
3	308	0	0.277777777777778
3	309	0	0.444444444444444
3	310	0	0.305555555555556
3	311	0	0.361111111111111
3	312	0	0.305555555555556
3	313	0	0.277777777777778
3	314	0	0.472222222222222
3	315	0	0.416666666666667
3	316	0	0.5
3	317	0	0.388888888888889
3	318	0	0.222222222222222
3	319	0	0.333333333333333
3	320	0	0.361111111111111
3	321	0	0.388888888888889
3	322	0	0.333333333333333
3	323	0	0.361111111111111
3	324	0	0.388888888888889
3	325	0	0.472222222222222
3	326	0	0.444444444444444
3	327	0	0.277777777777778
3	328	0	0.472222222222222
